106-46-7;Clc1ccc(Cl)cc1;
91-94-1;Nc1ccc(cc1Cl)c2ccc(N)c(Cl)c2;
110-57-6;ClC/C=C/CCl;
107-06-2;ClCCCl;
75-09-2;ClCCl;
609-20-1;Nc1cc(Cl)c(N)c(Cl)c1;
78-87-5;CC(Cl)CCl;
542-75-6;ClC\C=C/Cl;
62-73-7;CO[P](=O)(OC)OC=C(Cl)Cl;
115-32-2;OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl;
60-57-1;ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl;
111-42-2;OCCNCCO;
111-46-6;OCCOCCO;
103-23-1;CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC;
